"","thresholds.thresholds","thresholds.true.positives","thresholds.true.negatives","thresholds.sensitivity","thresholds.specificity","thresholds.precision","thresholds.false.pos.rate","thresholds.n.preds","thresholds.prop.preds","N","prevalence","AUC","AUCratio","meanPrecision"
"0",0,258,0,1,0,8.2398130520555e-05,1,1668232,0.532787589436304,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.01",0.01,163,2218789,0.631782945736434,0.708678803186707,0.000178678110835238,0.291321196813293,578425,0.184733095528496,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.02",0.02,163,2246562,0.631782945736434,0.71754946930273,0.000184288657089686,0.28245053069727,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.03",0.03,163,2246562,0.631782945736434,0.71754946930273,0.000184288657089686,0.28245053069727,807215,0.257802352434689,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.04",0.04,39,3064341,0.151162790697674,0.978747196076759,0.000585770287928626,0.0212528039232408,32769,0.0104655206939072,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.05",0.05,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.06",0.06,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.07",0.07,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.08",0.08,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.09",0.09,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.1",0.1,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.11",0.11,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.12",0.12,33,3086416,0.127906976744186,0.98579792716491,0.000741606364330981,0.0142020728350902,44498,0.0142114419066033,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.13",0.13,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.14",0.14,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.15",0.15,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.16",0.16,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.17",0.17,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.18",0.18,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.19",0.19,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.2",0.2,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.21",0.21,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.22",0.22,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.23",0.23,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.24",0.24,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.25",0.25,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.26",0.26,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.27",0.27,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.28",0.28,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.29",0.29,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.3",0.3,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.31",0.31,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.32",0.32,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.33",0.33,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.34",0.34,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.35",0.35,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.36",0.36,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.37",0.37,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.38",0.38,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.39",0.39,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.4",0.4,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.41",0.41,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.42",0.42,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.43",0.43,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.44",0.44,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.45",0.45,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.46",0.46,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.47",0.47,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.48",0.48,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.49",0.49,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.5",0.5,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.51",0.51,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.52",0.52,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.53",0.53,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.54",0.54,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.55",0.55,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.56",0.56,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.57",0.57,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.58",0.58,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.59",0.59,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.6",0.6,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.61",0.61,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.62",0.62,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.63",0.63,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.64",0.64,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.65",0.65,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.66",0.66,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.67",0.67,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.68",0.68,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.69",0.69,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.7",0.7,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.71",0.71,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.72",0.72,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.73",0.73,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.74",0.74,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.75",0.75,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.76",0.76,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.77",0.77,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.78",0.78,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.79",0.79,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.8",0.8,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.81",0.81,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.82",0.82,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.83",0.83,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.84",0.84,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.85",0.85,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.86",0.86,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.87",0.87,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.88",0.88,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.89",0.89,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.9",0.9,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.91",0.91,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.92",0.92,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.93",0.93,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.94",0.94,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.95",0.95,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.96",0.96,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.97",0.97,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.98",0.98,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"0.99",0.99,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
"1",1,0,3130881,0,1,NA,0,0,0,3131139,8.2398130520555e-05,0.714467740807205,1.42893548161441,0.000549867289085511
